City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Max Temp (C)
68,lipova,46.0833,21.7,289.96,97,51,1.97,RO,1717020328,16.810000000000002
69,edenvale,-26.1367,28.1511,285.28,61,0,0.0,ZA,1717020329,12.129999999999995
70,centenario,-38.8043,-68.14,289.01,51,0,1.54,AR,1717020040,15.860000000000014
71,belyy yar,53.6039,91.3903,286.09,67,0,3.0,RU,1717020330,12.939999999999998
72,ilulissat,69.2167,-51.1,273.16,86,100,4.63,GL,1717020330,0.010000000000047748
73,punta arenas,-53.15,-70.9167,278.21,81,0,9.26,CL,1717020271,5.060000000000002
74,nabire,-3.3667,135.4833,297.94,95,90,2.2,ID,1717020331,24.79000000000002
75,al bawiti,28.3492,28.8659,297.15,26,2,3.85,EG,1717020332,24.0
76,santa vitoria do palmar,-33.5189,-53.3681,285.5,86,75,1.88,BR,1717020332,12.350000000000023
77,inarajan village,13.2736,144.7484,302.81,84,94,6.56,GU,1717020333,29.660000000000025
78,zainsk,55.3195,52.0694,287.75,96,38,1.61,RU,1717020245,14.600000000000023
79,arvayheer,46.2639,102.775,281.15,35,1,5.4,MN,1717020334,8.0
80,college,64.8569,-147.8028,295.14,37,75,2.57,US,1717020334,21.99000000000001
81,meulaboh,4.1363,96.1285,299.09,90,100,1.66,ID,1717020335,25.939999999999998
82,quellon,-43.1167,-73.6167,282.17,84,100,3.5,CL,1717020141,9.020000000000039
83,puerto natales,-51.7236,-72.4875,277.4,70,40,2.06,CL,1717020336,4.25
84,enewetak,11.3474,162.3373,301.08,79,78,7.02,MH,1717020336,27.930000000000007
85,mount gambier,-37.8333,140.7667,291.12,43,100,7.45,AU,1717020337,17.970000000000027
86,bilibino,68.0546,166.4372,272.07,72,100,2.02,RU,1717020125,-1.079999999999984
87,mount isa,-20.7333,139.5,291.02,88,0,2.57,AU,1717020315,17.870000000000005
88,nouadhibou,20.931,-17.0347,292.14,88,38,6.69,MR,1717020338,18.99000000000001
89,constantia,44.1833,28.65,286.53,81,13,4.03,RO,1717020339,13.379999999999995
90,klyuchi,52.2667,79.1667,279.54,73,100,2.58,RU,1717020339,6.390000000000043
91,itaueira,-7.6033,-43.0256,301.04,39,3,1.33,BR,1717020340,27.890000000000043
92,ghat,24.9647,10.1728,301.7,27,32,2.07,LY,1717020340,28.55000000000001
93,tegueste,28.5167,-16.3167,291.85,84,75,8.23,ES,1717020341,18.700000000000045
